country,x,y
Albania,89,-284
Andora,-132,-257
Austria,21,-175
Belgia,-92,-114
Białoruś,180,-63
Bośnia i Hercegowina,62,-231
Bułgaria,146,-255
Chorwacja,44,-204
Czarnogóra,77,-251
Czechy,30,-131
Dania,-42,-9
Estonia,158,51
Finlandia,175,204
Francja,-120,-187
Grecja,109,-307
Hiszpania,-183,-292
Holandia,-83,-83
Irlandia,-325,-97
Islandia,-249,-68
Kazachstan,400,-150
Liechtenstein,-37,-179
Litwa,137,-26
Luksemburg,-78,-134
Łotwa,151,15
Macedonia Pn.,107,-274
Malta,21,-359
Mołdawia,188,-177
Monako,-66,-239
Niemcy,-33,-103
Norwegia,-44,136
Polska,80,-89
Portugalia,-248,-300
Rosja,322,51
Rumunia,149,-204
San Marino,-4,-236
Serbia,96,-230
Słowacja,76,-153
Słowenia,24,-197
Szwajcaria,-53,-181
Szwecja,39,149
Turcja,275,-314
Ukraina,217,-136
Watykan,-2,-266
Węgry,77,-181
Wielka Brytania,-170,-79
Włochy,18,-270
